FILEBASE, SCALE, BYTES, ACCA, ACCB, ACCAVG, OCRTIME
8733_002.2B, 0.9, 10870, 93, 90, 91.5, 0.566051006317
8736_002.2B, 0.9, 8128, 75, 77, 76.0, 1.23794698715
8546_001.2B, 0.9, 17784, 86, 89, 87.5, 2.31988406181
8760_002.2B, 0.9, 17254, 92, 94, 93.0, 2.22073888779
8753_002.2B, 0.9, 47752, 94, 95, 94.5, 7.26859307289
8514_001.2B, 0.9, 26408, 75, 78, 76.5, 4.86162114143
8752_003.2B, 0.9, 20076, 83, 85, 84.0, 4.70154881477
8714_001.2B, 0.9, 20604, 85, 90, 87.5, 1.96422791481
8708_001.2B, 0.9, 21966, 92, 94, 93.0, 2.33661699295
8598_001.2B, 0.9, 14776, 100, 100, 100.0, 1.06271505356
8727_001.2B, 0.9, 27954, 87, 87, 87.0, 3.59020900726
8574_002.2B, 0.9, 12660, 58, 61, 59.5, 0.84162902832
8713_001.2B, 0.9, 22336, 93, 95, 94.0, 2.32158088684
8524_001.2B, 0.9, 23310, 83, 92, 87.5, 2.30543804169
8735_001.2B, 0.9, 18670, 92, 93, 92.5, 1.33324599266
8721_003.2B, 0.9, 22300, 90, 87, 88.5, 2.1387219429
8549_001.2B, 0.9, 9774, 84, 89, 86.5, 0.943136930466
8553_001.2B, 0.9, 19680, 95, 97, 96.0, 1.67202687263
8591_002.2B, 0.9, 3144, 81, 88, 84.5, 0.360982894897
8761_001.2B, 0.9, 18644, 85, 96, 90.5, 1.20980906487
8711_001.2B, 0.9, 17566, 81, 83, 82.0, 2.29384207726
8558_001.2B, 0.9, 21826, 80, 82, 81.0, 3.3808619976
8716_001.2B, 0.9, 28652, 87, 91, 89.0, 3.31297302246
8737_002.2B, 0.9, 27656, 96, 96, 96.0, 1.4374089241
8751_002.2B, 0.9, 23022, 94, 95, 94.5, 1.78979682922
8758_004.2B, 0.9, 25940, 95, 96, 95.5, 3.45892882347
8507_001.2B, 0.9, 15986, 77, 84, 80.5, 2.31479620934
8739_002.2B, 0.9, 34508, 94, 94, 94.0, 3.07603096962
8721_001.2B, 0.9, 29720, 87, 88, 87.5, 3.01715993881
8520_002.2B, 0.9, 37704, 93, 95, 94.0, 2.70603299141
8533_001.2B, 0.9, 9114, 97, 98, 97.5, 0.984660863876
8566_001.2B, 0.9, 13212, 83, 91, 87.0, 1.0701520443
8595_001.2B, 0.9, 12846, 88, 94, 91.0, 1.02960991859
8576_001.2B, 0.9, 11764, 89, 89, 89.0, 1.2700278759
